Freq_Hz,Accel_g,Accel_main
0,7.06E-21,7.29E-20
0.0093908,4.24E-06,3.09E-05
0.018782,5.45E-06,3.97E-05
0.028172,2.17E-06,1.58E-05
0.037563,1.50E-06,1.09E-05
0.046954,1.01E-06,7.36E-06
0.056345,7.13E-07,5.20E-06
0.065736,4.43E-07,3.23E-06
0.075126,2.73E-07,1.99E-06
0.084517,4.52E-07,3.30E-06
0.093908,2.66E-07,1.94E-06
0.1033,1.68E-07,1.23E-06
0.11269,2.15E-07,1.57E-06
0.12208,1.17E-07,8.57E-07
0.13147,1.77E-07,1.29E-06
0.14086,3.09E-08,2.25E-07
0.15025,4.41E-08,3.22E-07
0.15964,7.58E-08,5.53E-07
0.16903,1.37E-07,1.00E-06
0.17843,2.78E-08,2.03E-07
0.18782,1.35E-07,9.89E-07
0.19721,1.26E-07,9.20E-07
0.2066,7.57E-08,5.53E-07
0.21599,3.58E-08,2.61E-07
0.22538,2.84E-08,2.07E-07
0.23477,8.06E-08,5.88E-07
0.24416,6.05E-08,4.42E-07
0.25355,3.86E-08,2.82E-07
0.26294,4.59E-08,3.35E-07
0.27233,3.75E-08,2.74E-07
0.28172,7.99E-08,5.83E-07
0.29111,4.80E-08,3.50E-07
0.30051,2.28E-08,1.66E-07
0.3099,6.79E-08,4.96E-07
0.31929,5.49E-08,4.00E-07
0.32868,5.89E-08,4.30E-07
0.33807,2.09E-08,1.52E-07
0.34746,3.00E-08,2.19E-07
0.35685,3.42E-08,2.50E-07
0.36624,6.68E-08,4.88E-07
0.37563,3.56E-08,2.60E-07
0.38502,3.86E-08,2.81E-07
0.39441,3.92E-08,2.86E-07
0.4038,1.97E-08,1.44E-07
0.4132,4.16E-08,3.03E-07
0.42259,6.03E-08,4.40E-07
0.43198,5.42E-08,3.95E-07
0.44137,5.75E-08,4.19E-07
0.45076,4.88E-08,3.56E-07
0.46015,5.89E-08,4.30E-07
0.46954,3.45E-08,2.52E-07
0.47893,4.27E-08,3.11E-07
0.48832,6.25E-08,4.56E-07
0.49771,9.58E-08,6.99E-07
0.5071,1.58E-08,1.15E-07
0.51649,1.24E-08,9.04E-08
0.52588,3.90E-08,2.84E-07
0.53528,7.55E-08,5.51E-07
0.54467,2.50E-08,1.82E-07
0.55406,1.87E-08,1.37E-07
0.56345,3.72E-08,2.72E-07
0.57284,2.49E-08,1.82E-07
0.58223,1.85E-08,1.35E-07
0.59162,7.56E-08,5.52E-07
0.60101,4.16E-08,3.04E-07
0.6104,8.47E-08,6.18E-07
0.61979,5.17E-08,3.77E-07
0.62918,1.06E-08,7.72E-08
0.63857,3.37E-08,2.46E-07
0.64797,9.49E-08,6.92E-07
0.65736,6.88E-08,5.02E-07
0.66675,2.59E-08,1.89E-07
0.67614,6.42E-08,4.68E-07
0.68553,3.70E-08,2.70E-07
0.69492,2.51E-08,1.83E-07
0.70431,5.21E-08,3.80E-07
0.7137,6.92E-08,5.05E-07
0.72309,1.43E-07,1.04E-06
0.73248,8.35E-09,6.09E-08
0.74187,3.82E-08,2.79E-07
0.75126,3.46E-08,2.53E-07
0.76065,3.90E-08,2.84E-07
0.77005,4.09E-08,2.99E-07
0.77944,2.40E-08,1.75E-07
0.78883,4.46E-08,3.26E-07
0.79822,4.44E-08,3.24E-07
0.80761,4.40E-08,3.21E-07
0.817,3.87E-08,2.82E-07
0.82639,1.05E-07,7.70E-07
0.83578,8.29E-08,6.05E-07
0.84517,9.73E-08,7.10E-07
0.85456,5.54E-08,4.04E-07
0.86395,3.57E-08,2.60E-07
0.87334,4.54E-08,3.31E-07
0.88274,6.56E-08,4.78E-07
0.89213,2.16E-08,1.57E-07
0.90152,3.52E-08,2.57E-07
0.91091,8.40E-08,6.13E-07
0.9203,2.37E-08,1.73E-07
0.92969,3.63E-08,2.65E-07
0.93908,1.82E-08,1.33E-07
0.94847,6.59E-08,4.81E-07
0.95786,8.44E-08,6.16E-07
0.96725,7.56E-08,5.52E-07
0.97664,1.00E-07,7.30E-07
0.98603,4.27E-08,3.11E-07
0.99542,8.36E-08,6.10E-07
1.0048,4.47E-08,3.26E-07
1.0142,8.59E-08,6.27E-07
1.0236,9.46E-08,6.91E-07
1.033,6.51E-08,4.75E-07
1.0424,2.26E-07,1.65E-06
1.0518,1.73E-07,1.26E-06
1.0612,1.18E-07,8.59E-07
1.0706,2.57E-07,1.87E-06
1.0799,1.57E-07,1.14E-06
1.0893,2.24E-07,1.63E-06
1.0987,2.41E-07,1.76E-06
1.1081,1.46E-07,1.06E-06
1.1175,1.94E-07,1.42E-06
1.1269,1.48E-07,1.08E-06
1.1363,1.16E-07,8.49E-07
1.1457,1.86E-07,1.36E-06
1.1551,8.19E-08,5.98E-07
1.1645,4.29E-08,3.13E-07
1.1738,1.11E-07,8.10E-07
1.1832,9.56E-08,6.98E-07
1.1926,2.49E-08,1.82E-07
1.202,7.15E-08,5.22E-07
1.2114,8.02E-08,5.85E-07
1.2208,9.88E-08,7.21E-07
1.2302,9.37E-08,6.84E-07
1.2396,4.39E-08,3.21E-07
1.249,5.95E-08,4.34E-07
1.2584,1.07E-07,7.81E-07
1.2678,7.58E-08,5.53E-07
1.2771,5.18E-08,3.78E-07
1.2865,1.09E-07,7.92E-07
1.2959,8.15E-08,5.94E-07
1.3053,2.94E-08,2.15E-07
1.3147,3.91E-08,2.86E-07
1.3241,7.78E-08,5.68E-07
1.3335,6.25E-08,4.56E-07
1.3429,4.72E-08,3.44E-07
1.3523,4.10E-08,2.99E-07
1.3617,2.15E-08,1.57E-07
1.3711,2.91E-08,2.12E-07
1.3804,8.14E-08,5.94E-07
1.3898,2.61E-08,1.90E-07
1.3992,4.02E-08,2.93E-07
1.4086,8.68E-08,6.33E-07
1.418,1.84E-08,1.34E-07
1.4274,9.58E-08,6.99E-07
1.4368,8.58E-08,6.26E-07
1.4462,9.24E-08,6.74E-07
1.4556,3.19E-08,2.33E-07
1.465,1.02E-07,7.41E-07
1.4744,1.97E-08,1.44E-07
1.4837,7.06E-08,5.16E-07
1.4931,4.67E-08,3.40E-07
1.5025,7.51E-08,5.48E-07
1.5119,2.86E-08,2.09E-07
1.5213,9.48E-08,6.92E-07
1.5307,2.56E-08,1.87E-07
1.5401,5.79E-08,4.23E-07
1.5495,3.95E-08,2.88E-07
1.5589,4.92E-08,3.59E-07
1.5683,6.57E-08,4.79E-07
1.5777,5.86E-08,4.28E-07
1.587,3.10E-08,2.26E-07
1.5964,4.33E-08,3.16E-07
1.6058,6.41E-08,4.68E-07
1.6152,6.89E-08,5.02E-07
1.6246,7.17E-08,5.23E-07
1.634,7.66E-08,5.59E-07
1.6434,8.32E-08,6.07E-07
1.6528,6.12E-08,4.46E-07
1.6622,7.10E-08,5.18E-07
1.6716,2.69E-08,1.97E-07
1.681,6.07E-08,4.43E-07
1.6903,2.60E-08,1.90E-07
1.6997,4.73E-08,3.45E-07
1.7091,6.29E-08,4.59E-07
1.7185,8.97E-08,6.55E-07
1.7279,5.37E-08,3.92E-07
1.7373,7.87E-08,5.74E-07
1.7467,1.28E-07,9.37E-07
1.7561,2.99E-08,2.18E-07
1.7655,3.54E-08,2.58E-07
1.7749,1.27E-08,9.24E-08
1.7843,6.58E-08,4.80E-07
1.7936,9.09E-08,6.63E-07
1.803,7.34E-08,5.35E-07
1.8124,7.92E-08,5.78E-07
1.8218,6.08E-08,4.44E-07
1.8312,3.51E-08,2.56E-07
1.8406,2.51E-08,1.83E-07
1.85,3.88E-08,2.83E-07
1.8594,2.79E-08,2.04E-07
1.8688,3.39E-08,2.47E-07
1.8782,5.38E-08,3.93E-07
1.8876,1.01E-07,7.37E-07
1.8969,3.75E-08,2.74E-07
1.9063,1.19E-08,8.70E-08
1.9157,3.46E-08,2.53E-07
1.9251,8.01E-08,5.84E-07
1.9345,5.70E-08,4.16E-07
1.9439,1.25E-08,9.09E-08
1.9533,1.08E-08,7.89E-08
1.9627,6.32E-08,4.61E-07
1.9721,5.72E-08,4.17E-07
1.9815,6.52E-08,4.76E-07
1.9908,3.26E-08,2.38E-07
2.0002,6.11E-08,4.45E-07
2.0096,7.05E-08,5.15E-07
2.019,7.84E-08,5.72E-07
2.0284,1.36E-08,9.93E-08
2.0378,1.05E-07,7.64E-07
2.0472,1.43E-07,1.04E-06
2.0566,6.43E-08,4.69E-07
2.066,1.04E-07,7.56E-07
2.0754,7.23E-08,5.28E-07
2.0848,5.57E-08,4.06E-07
2.0941,9.03E-08,6.59E-07
2.1035,6.43E-08,4.69E-07
2.1129,4.76E-08,3.47E-07
2.1223,6.85E-08,5.00E-07
2.1317,4.03E-08,2.94E-07
2.1411,1.30E-07,9.51E-07
2.1505,5.54E-08,4.04E-07
2.1599,1.92E-08,1.40E-07
2.1693,2.93E-08,2.14E-07
2.1787,9.28E-08,6.77E-07
2.1881,3.17E-08,2.31E-07
2.1974,1.48E-08,1.08E-07
2.2068,4.92E-08,3.59E-07
2.2162,9.24E-08,6.74E-07
2.2256,3.15E-08,2.30E-07
2.235,1.24E-07,9.06E-07
2.2444,1.36E-07,9.95E-07
2.2538,9.43E-08,6.88E-07
2.2632,2.79E-08,2.03E-07
2.2726,6.28E-08,4.58E-07
2.282,5.60E-08,4.09E-07
2.2914,9.39E-08,6.85E-07
2.3007,1.23E-07,9.00E-07
2.3101,6.37E-08,4.65E-07
2.3195,2.68E-08,1.95E-07
2.3289,8.01E-08,5.84E-07
2.3383,5.87E-08,4.28E-07
2.3477,4.09E-08,2.99E-07
2.3571,5.28E-08,3.85E-07
2.3665,1.19E-07,8.71E-07
2.3759,1.15E-07,8.36E-07
2.3853,1.92E-08,1.40E-07
2.3947,2.57E-08,1.87E-07
2.404,9.42E-08,6.87E-07
2.4134,6.17E-08,4.50E-07
2.4228,8.51E-08,6.21E-07
2.4322,4.29E-08,3.13E-07
2.4416,9.67E-08,7.06E-07
2.451,2.12E-08,1.55E-07
2.4604,7.53E-09,5.49E-08
2.4698,8.61E-08,6.28E-07
2.4792,4.93E-08,3.60E-07
2.4886,1.71E-07,1.25E-06
2.498,1.02E-07,7.41E-07
2.5073,4.66E-08,3.40E-07
2.5167,4.74E-08,3.46E-07
2.5261,2.54E-08,1.85E-07
2.5355,6.82E-08,4.97E-07
2.5449,6.81E-08,4.97E-07
2.5543,4.21E-08,3.07E-07
2.5637,7.30E-08,5.33E-07
2.5731,3.18E-08,2.32E-07
2.5825,2.95E-08,2.15E-07
2.5919,2.52E-08,1.84E-07
2.6013,5.98E-08,4.36E-07
2.6106,6.97E-08,5.09E-07
2.62,4.31E-08,3.15E-07
2.6294,8.25E-08,6.02E-07
2.6388,3.54E-08,2.58E-07
2.6482,6.19E-08,4.52E-07
2.6576,1.10E-07,8.03E-07
2.667,3.61E-08,2.63E-07
2.6764,3.66E-08,2.67E-07
2.6858,4.52E-08,3.30E-07
2.6952,3.23E-08,2.36E-07
2.7045,6.58E-08,4.80E-07
2.7139,1.53E-07,1.12E-06
2.7233,8.34E-08,6.09E-07
2.7327,1.15E-07,8.40E-07
2.7421,5.78E-08,4.22E-07
2.7515,1.06E-07,7.70E-07
2.7609,6.11E-08,4.46E-07
2.7703,6.21E-08,4.53E-07
2.7797,9.92E-08,7.24E-07
2.7891,3.09E-08,2.26E-07
2.7985,6.89E-08,5.03E-07
2.8078,1.17E-07,8.56E-07
2.8172,8.98E-08,6.56E-07
2.8266,4.56E-08,3.33E-07
2.836,5.27E-08,3.85E-07
2.8454,8.99E-08,6.56E-07
2.8548,6.16E-08,4.49E-07
2.8642,5.70E-08,4.16E-07
2.8736,5.19E-08,3.79E-07
2.883,6.03E-08,4.40E-07
2.8924,1.07E-07,7.84E-07
2.9018,3.75E-08,2.74E-07
2.9111,4.22E-08,3.08E-07
2.9205,1.34E-07,9.77E-07
2.9299,4.25E-08,3.10E-07
2.9393,4.42E-08,3.22E-07
2.9487,6.03E-08,4.40E-07
2.9581,3.38E-08,2.46E-07
2.9675,5.18E-08,3.78E-07
2.9769,4.11E-08,3.00E-07
2.9863,7.44E-08,5.43E-07
2.9957,7.38E-08,5.38E-07
3.0051,6.49E-08,4.74E-07
3.0144,3.58E-08,2.61E-07
3.0238,4.51E-08,3.29E-07
3.0332,6.12E-08,4.47E-07
3.0426,6.42E-08,4.68E-07
3.052,8.01E-08,5.84E-07
3.0614,1.03E-07,7.51E-07
3.0708,5.46E-08,3.98E-07
3.0802,6.28E-08,4.58E-07
3.0896,2.62E-08,1.91E-07
3.099,8.68E-08,6.33E-07
3.1084,4.86E-08,3.54E-07
3.1177,4.53E-08,3.30E-07
3.1271,4.56E-08,3.33E-07
3.1365,7.56E-08,5.52E-07
3.1459,6.72E-08,4.90E-07
3.1553,1.33E-07,9.69E-07
3.1647,2.96E-08,2.16E-07
3.1741,3.06E-08,2.23E-07
3.1835,1.04E-07,7.59E-07
3.1929,1.13E-08,8.22E-08
3.2023,8.40E-08,6.13E-07
3.2117,9.10E-08,6.64E-07
3.221,4.58E-08,3.34E-07
3.2304,4.47E-08,3.26E-07
3.2398,6.67E-08,4.87E-07
3.2492,5.32E-08,3.88E-07
3.2586,5.84E-08,4.26E-07
3.268,9.17E-08,6.69E-07
3.2774,5.03E-08,3.67E-07
3.2868,4.59E-08,3.35E-07
3.2962,1.12E-07,8.21E-07
3.3056,1.31E-07,9.57E-07
3.315,9.03E-08,6.59E-07
3.3243,3.87E-09,2.82E-08
3.3337,1.48E-07,1.08E-06
3.3431,8.59E-08,6.27E-07
3.3525,8.29E-08,6.05E-07
3.3619,1.98E-07,1.44E-06
3.3713,7.43E-08,5.42E-07
3.3807,9.29E-08,6.78E-07
3.3901,4.16E-08,3.04E-07
3.3995,8.58E-08,6.26E-07
3.4089,2.11E-07,1.54E-06
3.4183,2.45E-07,1.79E-06
3.4276,1.64E-07,1.20E-06
3.437,1.43E-07,1.04E-06
3.4464,1.04E-07,7.60E-07
3.4558,1.62E-07,1.18E-06
3.4652,2.33E-07,1.70E-06
3.4746,2.73E-07,1.99E-06
3.484,3.47E-07,2.53E-06
3.4934,1.63E-07,1.19E-06
3.5028,1.91E-07,1.39E-06
3.5122,3.39E-08,2.47E-07
3.5215,1.24E-07,9.07E-07
3.5309,9.51E-08,6.94E-07
3.5403,1.17E-07,8.51E-07
3.5497,4.86E-08,3.55E-07
3.5591,1.59E-08,1.16E-07
3.5685,4.70E-08,3.43E-07
3.5779,2.66E-08,1.94E-07
3.5873,5.66E-08,4.13E-07
3.5967,4.82E-08,3.51E-07
3.6061,4.11E-08,3.00E-07
3.6155,1.84E-08,1.34E-07
3.6248,6.29E-08,4.59E-07
3.6342,1.07E-07,7.82E-07
3.6436,6.01E-08,4.38E-07
3.653,1.60E-08,1.17E-07
3.6624,1.41E-07,1.03E-06
3.6718,9.96E-08,7.26E-07
3.6812,3.56E-08,2.60E-07
3.6906,9.65E-08,7.04E-07
3.7,3.49E-08,2.55E-07
3.7094,6.92E-08,5.05E-07
3.7188,3.28E-08,2.40E-07
3.7281,8.46E-08,6.17E-07
3.7375,9.71E-08,7.08E-07
3.7469,7.50E-09,5.47E-08
3.7563,8.84E-08,6.45E-07
3.7657,1.29E-07,9.38E-07
