ATOM0    01-17-07.00000-N 103-48-40.80000-E
ATOM1    01-15-54.14959-N 103-49-44.54590-E
ATOM2    01-17-21.88109-N 103-49-32.18628-E
ATOM3    01-17-44.12274-N 103-45-22.52197-E
ATOM4    01-20-32.16902-N 103-47-45.89355-E
ATOM5    01-16-49.75416-N 103-51-53.08594-E
ATOM6    01-14-48.65935-N 103-50-37.69226-E
ATOM7    01-17-35.47321-N 103-53-24.54712-E
ATOM8    01-19-57.57152-N 103-53-27.01904-E
ATOM9    01-22-01.13341-N 103-51-20.95093-E
ATOM10    01-20-59.35268-N 103-44-05.89233-E
ATOM11    01-13-49.34704-N 103-45-57.12891-E
ATOM12    01-13-14.74802-N 103-51-13.53516-E
ATOM13    01-18-11.30691-N 104-00-44.54956-E
ATOM14    01-25-36.12686-N 103-52-35.10864-E
ATOM15    01-09-27.38002-N 103-53-12.18750-E
ATOM16    01-17-49.06532-N 103-43-58.47656-E
