# Station Station cartesian coordinates
# Name    X-coord       Y-coord       Z-coord
#
ATOM0     -1522268.501  6192279.330   142109.308
ATOM1     -1524194.048  6191856.932   139872.209
ATOM2     -1523808.669  6191889.927   142566.277
ATOM3     -1516309.185  6193714.851   143249.272
ATOM4     -1520585.644  6192544.009   148409.570
ATOM5     -1528043.301  6190869.051   141579.723
ATOM6     -1525799.946  6191506.811   137861.112
ATOM7     -1530780.712  6190160.268   142983.663
ATOM8     -1530830.887  6190044.841   147347.172
ATOM9     -1527025.863  6190892.518   151141.415
ATOM10    -1513975.181  6194143.284   149244.306
ATOM11    -1517386.162  6193614.740   136039.717
ATOM12    -1526890.702  6191301.882   134977.226
ATOM13 	  -1529339.839  6190700.479   134835.270
ATOM14    -1529212.949  6190186.831   157743.140
ATOM15    -1530486.736  6190563.228   127994.960
ATOM16    -1513784.530  6194328.841   143401.048
