freq,xdft,psdx
0,9.95E-21,1.50E-19
0.0043865,6.99E-06,7.46E-05
0.008773,7.08E-06,7.56E-05
0.013159,8.39E-06,8.96E-05
0.017546,5.33E-06,5.69E-05
0.021932,6.04E-06,6.45E-05
0.026319,4.28E-06,4.57E-05
0.030705,2.09E-06,2.24E-05
0.035092,2.35E-06,2.50E-05
0.039478,2.22E-06,2.37E-05
0.043865,1.89E-06,2.02E-05
0.048251,1.63E-06,1.75E-05
0.052638,1.63E-06,1.75E-05
0.057024,1.80E-06,1.92E-05
0.061411,1.32E-06,1.41E-05
0.065797,1.16E-06,1.24E-05
0.070184,1.18E-06,1.26E-05
0.07457,1.10E-06,1.18E-05
0.078957,8.86E-07,9.46E-06
0.083343,1.11E-06,1.18E-05
0.08773,9.89E-07,1.06E-05
0.092116,8.81E-07,9.41E-06
0.096503,7.77E-07,8.30E-06
0.10089,8.76E-07,9.36E-06
0.10528,7.80E-07,8.33E-06
0.10966,7.93E-07,8.47E-06
0.11405,7.07E-07,7.55E-06
0.11844,6.72E-07,7.17E-06
0.12282,6.32E-07,6.75E-06
0.12721,6.32E-07,6.75E-06
0.13159,5.98E-07,6.38E-06
0.13598,6.01E-07,6.41E-06
0.14037,5.68E-07,6.06E-06
0.14475,5.64E-07,6.02E-06
0.14914,5.33E-07,5.69E-06
0.15353,5.46E-07,5.83E-06
0.15791,4.69E-07,5.01E-06
0.1623,5.04E-07,5.38E-06
0.16669,4.48E-07,4.79E-06
0.17107,5.11E-07,5.46E-06
0.17546,4.38E-07,4.68E-06
0.17985,4.67E-07,4.98E-06
0.18423,4.25E-07,4.54E-06
0.18862,3.96E-07,4.23E-06
0.19301,4.38E-07,4.67E-06
0.19739,3.95E-07,4.22E-06
0.20178,4.27E-07,4.56E-06
0.20617,4.01E-07,4.28E-06
0.21055,4.11E-07,4.38E-06
0.21494,3.86E-07,4.12E-06
0.21932,3.61E-07,3.86E-06
0.22371,3.86E-07,4.12E-06
0.2281,3.63E-07,3.88E-06
0.23248,3.45E-07,3.68E-06
0.23687,3.46E-07,3.70E-06
0.24126,3.28E-07,3.50E-06
0.24564,3.40E-07,3.63E-06
0.25003,3.07E-07,3.28E-06
0.25442,3.47E-07,3.70E-06
0.2588,2.91E-07,3.11E-06
0.26319,3.26E-07,3.48E-06
0.26758,2.89E-07,3.09E-06
0.27196,3.29E-07,3.51E-06
0.27635,2.89E-07,3.08E-06
0.28074,2.90E-07,3.09E-06
0.28512,3.08E-07,3.29E-06
0.28951,2.79E-07,2.98E-06
0.29389,2.81E-07,3.00E-06
0.29828,2.76E-07,2.94E-06
0.30267,2.93E-07,3.13E-06
0.30705,2.55E-07,2.72E-06
0.31144,2.40E-07,2.56E-06
0.31583,2.53E-07,2.70E-06
0.32021,2.55E-07,2.73E-06
0.3246,2.67E-07,2.85E-06
0.32899,2.55E-07,2.72E-06
0.33337,2.65E-07,2.83E-06
0.33776,2.30E-07,2.46E-06
0.34215,2.49E-07,2.66E-06
0.34653,2.51E-07,2.68E-06
0.35092,2.46E-07,2.63E-06
0.35531,2.45E-07,2.62E-06
0.35969,2.30E-07,2.46E-06
0.36408,2.42E-07,2.58E-06
0.36847,2.20E-07,2.35E-06
0.37285,2.22E-07,2.37E-06
0.37724,1.99E-07,2.13E-06
0.38162,2.25E-07,2.40E-06
0.38601,2.06E-07,2.20E-06
0.3904,2.09E-07,2.23E-06
0.39478,2.06E-07,2.20E-06
0.39917,2.05E-07,2.19E-06
0.40356,2.22E-07,2.37E-06
0.40794,1.84E-07,1.97E-06
0.41233,2.27E-07,2.42E-06
0.41672,1.89E-07,2.01E-06
0.4211,2.08E-07,2.22E-06
0.42549,2.15E-07,2.30E-06
0.42988,1.95E-07,2.09E-06
